Logger, Amir_rp1999:         	Automatically truncated logfile to 1048576
SessionPaths, Amir_rp1999:   	Waiting for exclusive lock of D:\0.LaravelProjects\Rootix\onlineShop\public\session.client1.safe.php.lock...
SessionPaths, Amir_rp1999:   	Got exclusive lock of D:\0.LaravelProjects\Rootix\onlineShop\public\session.client1.safe.php.lock...
SessionPaths, Amir_rp1999:   	Waiting for exclusive lock of D:\0.LaravelProjects\Rootix\onlineShop\public\session.client1.lightState.php.lock...
SessionPaths, Amir_rp1999:   	Got exclusive lock of D:\0.LaravelProjects\Rootix\onlineShop\public\session.client1.lightState.php.lock...
APIWrapper, Amir_rp1999:     	Saved session!
SessionPaths, Amir_rp1999:   	Waiting for exclusive lock of D:\0.LaravelProjects\Rootix\onlineShop\public\session.client1.safe.php.lock...
SessionPaths, Amir_rp1999:   	Got exclusive lock of D:\0.LaravelProjects\Rootix\onlineShop\public\session.client1.safe.php.lock...
SessionPaths, Amir_rp1999:   	Waiting for exclusive lock of D:\0.LaravelProjects\Rootix\onlineShop\public\session.client1.lightState.php.lock...
SessionPaths, Amir_rp1999:   	Got exclusive lock of D:\0.LaravelProjects\Rootix\onlineShop\public\session.client1.lightState.php.lock...
APIWrapper, Amir_rp1999:     	Saved session!
PingLoop, Amir_rp1999:       	Ping DC 1.0
PingLoop, Amir_rp1999:       	Ping DC 3.0
Session, Amir_rp1999:        	Garbage collected 1 incoming messages in DC 1, 0 left
Session, Amir_rp1999:        	Garbage collected 1 outgoing messages in DC 1, 0 left
Session, Amir_rp1999:        	Garbage collected 1 incoming messages in DC 3, 0 left
Session, Amir_rp1999:        	Garbage collected 1 outgoing messages in DC 3, 0 left
PingLoop, Amir_rp1999:       	Ping DC 2.0
Session, Amir_rp1999:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, Amir_rp1999:        	Garbage collected 1 outgoing messages in DC 2, 0 left
PingLoop, Amir_rp1999:       	Ping DC 5.0
Session, Amir_rp1999:        	Garbage collected 0 outgoing messages in DC 5, 1 left
Session, Amir_rp1999:        	Garbage collected 1 incoming messages in DC 5, 0 left
Session, Amir_rp1999:        	Garbage collected 1 outgoing messages in DC 5, 0 left
SessionPaths, Amir_rp1999:   	Waiting for exclusive lock of D:\0.LaravelProjects\Rootix\onlineShop\public\session.client1.safe.php.lock...
SessionPaths, Amir_rp1999:   	Got exclusive lock of D:\0.LaravelProjects\Rootix\onlineShop\public\session.client1.safe.php.lock...
SessionPaths, Amir_rp1999:   	Waiting for exclusive lock of D:\0.LaravelProjects\Rootix\onlineShop\public\session.client1.lightState.php.lock...
SessionPaths, Amir_rp1999:   	Got exclusive lock of D:\0.LaravelProjects\Rootix\onlineShop\public\session.client1.lightState.php.lock...
APIWrapper, Amir_rp1999:     	Saved session!
